fecha,compen,cc,BOAA,cfcuah,cfcuch,stck,oriental,Barclays,syncrony,CFCU ,IRA,IRAB,LUMA,TSP
201712,0,0,0,2670,1741,67805,5703,3485,4948,53659,0,0,0,0
201801,0,4389,0,1473,1177,70481,4195,10323,6952,55886,0,0,0,0
201802,0,4814,0,1613,2523,73448,5055,3806,8960,55765,0,0,0,0
201803,0,5303,0,2234,1063,71818,5545,3812,11018,54091,0,0,0,0
201804,0,3705,0,2601,853,72817,5024,4408,13030,55421,0,0,0,0
201805,0,4673,0,1246,1047,72233,6889,2305,14617,57218,0,0,0,0
201806,0,4179,0,1616,1093,73667,6263,2308,18811,46154,11675,0,0,0
201807,0,3185,0,1987,1419,77400,5449,2311,19841,47280,12384,0,0,0
201808,0,3942,0,1892,1692,80007,5683,2315,16613,48645,13711,0,0,0
201809,0,3788,0,1942,896,81292,5697,2318,18836,48580,14253,0,0,0
201810,0,2251,0,748,1306,80728,6500,3899,19994,45016,14671,0,0,0
201811,0,4914,0,1363,2317,84194,7511,3904,22524,45793,15229,0,0,0
201812,0,4735,1677,4222,1337,76067,6068,4540,22866,42773,14358,0,0,0
201901,0,5397,1672,4130,941,80219,4863,4863,13397,45433,15947,0,0,0
201902,0,3889,1672,2591,3335,82965,5994,4872,13924,46974,17506,0,0,0
201903,0,9670,2522,1353,2438,85274,6410,4130,10395,47573,18444,3000,0,0
201904,0,7838,2522,1328,798,85848,6744,4139,7411,47890,19964,3000,0,0
201905,0,3911,3312,4654,1958,85143,7398,2406,9425,46636,19249,3000,0,0
201906,0,8870,2522,369,3235,89290,6848,2412,9941,48658,20834,3000,0,0
201907,0,3523,2522,686,3398,91034,6175,2417,10458,49418,22484,3000,0,0
201908,0,5734,2718,685,1441,91791,7127,3071,10976,49467,22491,3000,0,0
201909,0,3405,2718,685,642,93192,7719,3372,11495,49995,22707,3000,0,0
201910,0,3105,1500,670,2961,95875,9995,3693,13233,49567,23861,2968,0,0
201911,0,11769,1730,944,5147,97958,6955,1199,13756,49607,25674,3026,0,0
201912,0,6022,1520,649,3085,99635,5176,1831,17775,49628,25885,3743,0,0
202001,0,4392,1520,756,750,103031,8155,2150,18301,49708,28053,4006,0,0
202002,0,3771,1510,1088,3138,95251,5806,2152,20430,49724,26236,4069,0,0
202003,0,1767,1490,773,3305,91458,5468,5922,21456,47010,23261,3022,0,0
202004,0,2477,1490,1092,6138,99583,7981,5926,21983,51034,26401,3334,0,0
202005,0,495,1490,779,7315,101879,7939,8053,24511,51875,29046,3395,0,0
202006,0,1231,1490,5786,3130,102518,6008,8377,25033,41320,31166,3372,0,0
202007,0,2268,1490,5786,2671,108637,11102,9714,25555,44040,32901,3400,0,0
202008,0,4517,1490,4321,2122,115887,6120,10036,26074,47520,36255,4844,0,0
202009,0,3650,1490,4951,1695,115415,7012,10043,23090,45871,35929,4932,0,0
202010,0,3848,1490,3262,2116,112278,3939,10047,13601,45111,35796,5112,0,0
202011,0,2867,1490,3637,1973,122003,1286,10452,19608,48826,40169,5538,0,0
202012,0,3725,1490,4182,1514,125213,2221,10456,23616,50617,42175,5523,0,0
202101,0,3109,1490,16523,2750,128657,2456,11136,13929,51924,42589,5310,0,0
202102,0,3983,1490,2038,2910,126056,2816,11455,16285,52185,43071,5424,0,0
202103,0,2854,1490,2040,2391,131722,2976,11778,19591,51744,43781,5845,0,0
202104,0,5340,1490,2989,1195,137278,3299,11778,29608,53139,46367,5917,0,0
202105,0,2644,1490,705,2635,141124,1000,12411,36887,53335,46243,6048,0,0
202106,0,3102,1490,1274,2855,144212,1855,12416,65900,53922,48806,6163,0,0
202107,0,5322,1490,8658,1456,150689,2506,12420,58171,54453,50257,6443,0,0
202108,0,4641,1490,8138,1331,155460,6035,11924,58197,54453,50984,6285,0,0
202109,2000,3901,1490,8138,1872,152711,9564,11928,58221,54584,49110,6370,0,0
202110,2000,6476,1490,389,2516,160667,6107,11932,58274,54585,52450,6380,0,0
202111,3000,6808,1490,14417,1795,160474,4566,11936,40566,52372,52385,6748,0,0
202112,2000,6020,1490,14167,2882,166594,7046,11941,40583,57232,53450,7260,3278,0
202201,4125,6521,1490,12856,1826,152765,52765,11946,83501,51137,52477,11657,3753,0
202202,7074,10323,1490,11769,1501,151347,4789,11951,83553,50012,51780,11578,4167,0
202203,7430,10236,1490,11769,1990,157404,1120,11956,83567,51137,54763,12086,4660,0
202204,3800,7685,1490,8307,542,145142,2019,11961,83612,46467,49432,11098,5152,0
202205,3838,6197,1724,8807,4823,145014,1440,11967,83650,47518,46692,10795,5784,0
202206,4409,9664,1490,8807,3841,137289,1024,11974,83709,44705,47013,10294,5887,0
202207,0,7238,1140,8827,3072,148080,5778,11983,183800,45451,53488,11722,6788,0
202208,7595,12225,1140,8127,2391,147825,2129,11996,184099,46210,54871,11816,7300,0
202209,4418,6508,1682,596,4007,129558,2545,12013,196580,41048,46336,11180,6850,0
202210,4895,6473,1482,213,5877,136473,6413,12032,196974,43804,48364,13231,7763,0
202211,9498,10373,2782,1013,4221,144142,1580,12050,197454,46377,50094,14490,7963,0
202212,5132,8147,2972,202,7227,142613,2473,12085,197979,45497,49026,15991,10392,0
202301,6000,9648,1472,913,3141,151169,2313,11121,196082,47065,52528,16866,11118,0
202302,5653,7301,1472,113,4054,149688,1001,11157,196659,46176,53707,17393,11512,0
202303,4340,6833,1472,587,11365,154031,2087,11188,197200,44398,55701,17554,11661,0
202304,4342,10288,1472,3775,3349,163867,2086,11255,202835,45958,59323,17754,11661,0
202305,4342,8261,1472,3349,2486,170341,2084,11288,203452,44827,63625,19074,12998,0
202306,5452,9045,1472,517,3610,175591,2158,11312,204112,46899,67466,19595,14131,2375
202307,4340,10843,1472,1100,2957,182431,2159,11323,204873,48834,71798,20885,15277,3150
202308,4340,8551,1573,2668,2321,177781,2160,11358,217909,47192,71157,20308,15277,3720
202309,5500,8635,1400,668,3671,168854,2492,11392,220984,46333,66382,20856,16036,4213
202310,4476,9438,1400,1471,1843,162734,2416,11438,193729,46457,63384,20134,15992,5014
202311,5199,8375,1450,1871,2340,179911,4187,6239,193938,48798,72296,22130,18186,6219
202312,7978,10890,1400,363,7749,188673,3016,276,197057,51233,75956,22973,19971,7201
202401,4400,7913,1400,250,1458,202106,1133,276,196170,52437,80146,27637,21104,8124
202402,4400,8044,1400,252,3739,211000,1191,1610,195890,54435,83741,27637,22318,9078
