fecha,compen,cc,BOAA,cfcuah,cfcuch,stck,oriental,Barclays,syncrony,CFCU ,IRA,IRAB,LUMA,TSP
1-Dec-17,0,0,0,"2,670","1,741","67,805","5,703","3,485","4,948","53,659",0,0,0,0
1-Jan-18,0,"4,389",0,"1,473","1,177","70,481","4,195","10,323","6,952","55,886",0,0,0,0
1-Feb-18,0,"4,814",0,"1,613","2,523","73,448","5,055","3,806","8,960","55,765",0,0,0,0
1-Mar-18,0,"5,303",0,"2,234","1,063","71,818","5,545","3,812","11,018","54,091",0,0,0,0
1-Apr-18,0,"3,705",0,"2,601",853,"72,817","5,024","4,408","13,030","55,421",0,0,0,0
1-May-18,0,"4,673",0,"1,246","1,047","72,233","6,889","2,305","14,617","57,218",0,0,0,0
1-Jun-18,0,"4,179",0,"1,616","1,093","73,667","6,263","2,308","18,811","46,154","11,675",0,0,0
1-Jul-18,0,"3,185",0,"1,987","1,419","77,400","5,449","2,311","19,841","47,280","12,384",0,0,0
1-Aug-18,0,"3,942",0,"1,892","1,692","80,007","5,683","2,315","16,613","48,645","13,711",0,0,0
1-Sep-18,0,"3,788",0,"1,942",896,"81,292","5,697","2,318","18,836","48,580","14,253",0,0,0
1-Oct-18,0,"2,251",0,748,"1,306","80,728","6,500","3,899","19,994","45,016","14,671",0,0,0
1-Nov-18,0,"4,914",0,"1,363","2,317","84,194","7,511","3,904","22,524","45,793","15,229",0,0,0
1-Dec-18,0,"4,735","1,677","4,222","1,337","76,067","6,068","4,540","22,866","42,773","14,358",0,0,0
1-Jan-19,0,"5,397","1,672","4,130",941,"80,219","4,863","4,863","13,397","45,433","15,947",0,0,0
1-Feb-19,0,"3,889","1,672","2,591","3,335","82,965","5,994","4,872","13,924","46,974","17,506",0,0,0
1-Mar-19,0,"9,670","2,522","1,353","2,438","85,274","6,410","4,130","10,395","47,573","18,444","3,000",0,0
1-Apr-19,0,"7,838","2,522","1,328",798,"85,848","6,744","4,139","7,411","47,890","19,964","3,000",0,0
1-May-19,0,"3,911","3,312","4,654","1,958","85,143","7,398","2,406","9,425","46,636","19,249","3,000",0,0
1-Jun-19,0,"8,870","2,522",369,"3,235","89,290","6,848","2,412","9,941","48,658","20,834","3,000",0,0
1-Jul-19,0,"3,523","2,522",686,"3,398","91,034","6,175","2,417","10,458","49,418","22,484","3,000",0,0
1-Aug-19,0,"5,734","2,718",685,"1,441","91,791","7,127","3,071","10,976","49,467","22,491","3,000",0,0
1-Sep-19,0,"3,405","2,718",685,642,"93,192","7,719","3,372","11,495","49,995","22,707","3,000",0,0
